t_h,Xylan_gL,Xylose_gL,XOS_gL,X_eng_gL,X_bifido_gL,SCFA_gL,T_C,pH,DO_mgL
26.200000000000003,9.985177511256675,0.005038094177673179,0.008825147582274397,11.771239403911094,0.008710680267309843,0.00019741144714674973,29.986635951783338,6.500168021043336,5.861109398169424
26.3,9.984892686607228,0.005134159914262603,0.009000651298272745,11.995602095040354,0.008702630967562212,0.00019901469265598903,29.99129487275843,6.500162078908033,5.852045176827929
26.400000000000002,9.984602122355506,0.00523216517784525,0.00917974359879512,12.224492099767462,0.008694603249830488,0.00020062696270538028,29.996071462975696,6.5001563044699635,5.842780443893684
26.5,9.98430568900824,0.005332153883660766,0.009362505133889299,12.458011836040628,0.008686597407843452,0.0002022485299050194,30.000968367602614,6.500150692727803,5.833309943427112
26.6,9.984003253577855,0.005434171137975586,0.009549018720929522,12.696266495463583,0.008678613744065125,0.00020387967559944443,30.00598830307305,6.50014523882667,5.823628249140962
26.700000000000003,9.98369467946533,0.005538263278223346,0.009739369416909126,12.939364136567262,0.008670652570013372,0.00020552069022638676,30.01113405947144,6.500139938053763,5.813729757611775
26.8,9.983379826338227,0.005644477914806614,0.009933644593696812,13.187415781930532,0.008662714206592677,0.00020717187369340747,30.016408503015004,6.500134785834106,5.803608681169475
26.900000000000002,9.983058550003665,0.00575286397464147,0.010131934016400806,13.44053551933818,0.00865479898444182,0.0002088335357734603,30.021814578638676,6.500129777726438,5.793259040447402
27.0,9.982730702276,0.00586347174653113,0.010334329924993267,13.698840607175107,0.008646907244297264,0.00021050599652049055,30.027355312687895,6.500124909419203,5.782674656574117
27.1,9.982396130838884,0.005976352928459816,0.010540927119356093,13.962451584267209,0.008639039337373035,0.0002121895867062576,30.033033815724593,6.500120176726667,5.771849142987055
27.200000000000003,9.982054679101546,0.006091560676903119,0.010751823047918205,14.231492384390968,0.008631195625758046,0.00021388464827964385,30.038853285451925,6.500115575585148,5.760775896846904
27.3,9.981706186048834,0.006209149658256891,0.010967117900064391,14.506090455687142,0.008623376482831714,0.00021559153484980364,30.044817009763836,6.500111102049349,5.7494480900302305
27.400000000000002,9.981350486084875,0.00632917610249247,0.011186914702506028,14.786376885227147,0.008615582293698952,0.00021731061219459503,30.050928369925686,6.500106752288806,5.737858659676419
27.5,9.980987408869892,0.006451697859152417,0.011411319419815047,15.072486528995361,0.00860781345564551,0.0002190422587958383,30.057190843892656,6.5001025225844264,5.726000298263529
27.6,9.980616779149914,0.006576774455807795,0.011640441059334568,15.364558147566331,0.008600070378614844,0.0002207868664030536,30.063608009772977,6.500098409325136,5.713865443185923
27.700000000000003,9.980238416578961,0.006704467159105003,0.01187439178069181,15.66273454777188,0.008592353485707666,0.00022254484062744385,30.070183549443552,6.500094409004623,5.701446265804864
27.8,9.979852135533328,0.006834839038538104,0.012113287010152693,15.967162730671255,0.008584663213705473,0.00022431660156801644,30.07692125232574,6.500090518218168,5.688734659941317
27.900000000000002,9.979457744917548,0.00696795503309062,0.012357245560071686,16.277994046155992,0.00857700001361934,0.0002261025844718713,30.083825019329943,6.500086733659568,5.675722229778177
28.0,9.979055047961607,0.00710388202089954,0.012606389753705611,16.595384354541103,0.008569364351265495,0.00022790324043082697,30.090898866977717,6.500083052118154,5.662400277137017
28.1,9.978643842008912,0.0072426888921038116,0.012860845555676908,16.91949419551625,0.008561756707869139,0.0002297190371167187,30.09814693171101,6.500079470475879,5.648759788092009
28.200000000000003,9.978223918294564,0.00738444662504934,0.013120742708388701,17.25048896485268,0.008554177580698132,0.0002315504595578663,30.10557347439844,6.500075985704509,5.6347914188812736
28.3,9.977795061713337,0.007529228366033503,0.013386214874713245,17.588539099287026,0.008546627483728333,0.0002333980109594007,30.113182885049472,6.500072594862864,5.620485481073133
28.400000000000002,9.977357050576874,0.007677109512783464,0.013657399787294982,17.933820270028882,0.008539106948342368,0.00023526221357033248,30.12097968774761,6.500069295094173,5.605831925941842
