t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
291.0,35.031,35.0,0.0491,4.91,0.0,0,1
292.0,35.03,35.0,0.0491,4.91,0.0,0,1
293.0,35.03,35.0,0.0491,4.91,0.0,0,1
294.0,35.029,35.0,0.0491,4.91,0.0,0,1
295.0,35.029,35.0,0.0492,4.92,0.0,0,1
296.0,35.028,35.0,0.0492,4.92,0.0,0,1
297.0,35.028,35.0,0.0492,4.92,0.0,0,1
298.0,35.027,35.0,0.0492,4.92,0.0,0,1
299.0,35.027,35.0,0.0492,4.92,0.0,0,1
300.0,35.026,35.0,0.0492,4.92,0.0,0,1
301.0,35.026,35.0,0.0492,4.92,0.0,0,1
302.0,35.025,35.0,0.0493,4.93,0.0,0,1
303.0,35.025,35.0,0.0493,4.93,0.0,0,1
304.0,35.025,35.0,0.0493,4.93,0.0,0,1
305.0,35.024,35.0,0.0493,4.93,0.0,0,1
306.0,35.024,35.0,0.0493,4.93,0.0,0,1
307.0,35.023,35.0,0.0493,4.93,0.0,0,1
308.0,35.023,35.0,0.0493,4.93,0.0,0,1
309.0,35.023,35.0,0.0493,4.93,0.0,0,1
310.0,35.022,35.0,0.0493,4.93,0.0,0,1
311.0,35.022,35.0,0.0494,4.94,0.0,0,1
312.0,35.021,35.0,0.0494,4.94,0.0,0,1
313.0,35.021,35.0,0.0494,4.94,0.0,0,1
314.0,35.021,35.0,0.0494,4.94,0.0,0,1
315.0,35.02,35.0,0.0494,4.94,0.0,0,1
316.0,35.02,35.0,0.0494,4.94,0.0,0,1
317.0,35.02,35.0,0.0494,4.94,0.0,0,1
318.0,35.019,35.0,0.0494,4.94,0.0,0,1
319.0,35.019,35.0,0.0494,4.94,0.0,0,1
320.0,35.019,35.0,0.0495,4.95,0.0,0,1
321.0,35.018,35.0,0.0495,4.95,0.0,0,1
322.0,35.018,35.0,0.0495,4.95,0.0,0,1
323.0,35.018,35.0,0.0495,4.95,0.0,0,1
324.0,35.018,35.0,0.0495,4.95,0.0,0,1
325.0,35.017,35.0,0.0495,4.95,0.0,0,1
326.0,35.017,35.0,0.0495,4.95,0.0,0,1
327.0,35.017,35.0,0.0495,4.95,0.0,0,1
328.0,35.016,35.0,0.0495,4.95,0.0,0,1
329.0,35.016,35.0,0.0495,4.95,0.0,0,1
330.0,35.016,35.0,0.0495,4.95,0.0,0,1
331.0,35.016,35.0,0.0495,4.95,0.0,0,1
332.0,35.015,35.0,0.0496,4.96,0.0,0,1
333.0,35.015,35.0,0.0496,4.96,0.0,0,1
334.0,35.015,35.0,0.0496,4.96,0.0,0,1
335.0,35.015,35.0,0.0496,4.96,0.0,0,1
336.0,35.014,35.0,0.0496,4.96,0.0,0,1
337.0,35.014,35.0,0.0496,4.96,0.0,0,1
338.0,35.014,35.0,0.0496,4.96,0.0,0,1
339.0,35.014,35.0,0.0496,4.96,0.0,0,1
